State (Emission order)	H3K9me3	H3K36me3	H4K20me1	H3K79me2	H3K4me1	H3K4me2	H3K9ac	H3K27ac	H3K4me3	H2AZ	H3K27me3
1	0.014080406617617778	3.389432580595683E-4	0.007416959404938871	8.309193832733661E-5	0.0024524410546332897	0.0025449557105629676	3.641070298460034E-5	1.1055489812245366E-4	1.0671687957834863E-4	0.010540227978865165	0.39579504710045377
2	0.008479252358218142	9.298143687097523E-4	0.0015193468189807768	1.8607689669568602E-4	6.509656873478757E-4	6.545456176043045E-5	2.0316901419900217E-5	7.901863336408126E-5	2.4642545047981265E-5	0.006480750927515247	0.004802096213908261
3	0.5009460298409077	0.08447841249295115	0.008371497792819338	0.004300900207645725	0.0027945023107000815	2.375076534053859E-4	3.908701873661831E-4	2.161506866065746E-4	0.002664924136317564	0.011819992297692173	0.007713320823204777
4	0.003281266445281017	0.20881439620233957	0.021765511649023454	0.04038829773070016	0.01722837892293734	1.1433063318740878E-4	3.7673884993848195E-4	7.849858007008732E-4	1.7920726928178894E-5	3.637747618420324E-5	3.702682056246765E-5
5	0.04487266216921073	0.24362064920000356	0.11675367072482139	0.7072205282244839	0.057926975760274294	9.124141039327885E-4	5.367714432834062E-4	9.534143703682292E-4	3.274727404788398E-4	4.3215627513149975E-5	7.812474667300865E-5
6	0.012630554521391139	0.2724508623289783	0.19142547449590752	0.7880112328365289	0.8320075048005363	0.27153643547407197	0.10422218010381813	0.09515710414278292	0.030396160007431092	0.001255762607164869	1.4027782162908406E-4
7	0.011798443503951815	0.01024858176939572	0.003856411738403031	0.005162704506756013	0.5027452788593776	0.07832270670612877	0.017217235178118167	0.019938183383633085	0.0014048247988055153	0.18096705652017922	0.002524978506710812
8	0.020948849784046313	0.014363993482903336	0.00766738222238669	0.0103102799398652	0.7287599680636953	0.7977672250801453	0.4035200095787616	0.33295500337282957	0.3449391543681229	0.5324936920455153	0.06769410528810363
9	0.003944782027528555	0.0036312426792448364	0.001510820912487561	0.21076894635432752	0.374774708093676	0.8999783179736222	0.9896209050404642	0.9909285153074034	0.9894223929573013	0.8673150944977275	0.014036903699901893
10	0.008611138355587153	0.23796883302139732	0.1596685194756008	0.919789558342608	0.7509203368149209	0.9788751611158195	0.9006583949227034	0.8175271397097889	0.7993546471584969	0.04792850443472583	1.949732797221516E-4
