State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9610574726769655	0.03443106335935993	8.180457488503184E-4	0.0	0.0	0.0	7.512605875388687E-5	0.0036071353196819025	1.1156836388583908E-5	0.0
2	0.004339878452179638	0.9794590427523046	0.0051185464405217995	5.819808382972445E-4	0.0	0.0	0.009612301310609719	7.885922787959879E-4	9.819137755400166E-5	1.4665497370799874E-6
3	0.0019245405142214334	0.10312542122573683	0.8861601951438304	0.003944300572093644	5.496506524235703E-4	4.3702089861459775E-5	0.0023266884346615684	0.001862744101548221	3.2408607640988164E-5	3.0348657982147972E-5
4	0.0	0.005900776865301089	0.0019968252317604037	0.9666482385952871	0.012995381705739313	0.006477078043810856	0.0051742755224329084	4.393979876225016E-4	7.346955621545841E-5	2.945564918302342E-4
5	7.211717042935528E-6	0.0	7.611768740175246E-4	0.030778423658730576	0.9194753090465697	0.04730290707277792	0.0	0.0	8.232609175794347E-6	0.0016667390216854791
6	0.0	0.0	1.4998362053810353E-4	0.03765730420573033	0.11438707456148373	0.772490332701027	0.007321533900701015	0.0032144699677568314	0.0	0.06477930104276304
7	1.717168745444912E-4	0.19610147986100868	0.002408782802437634	0.010357874090064598	0.0	0.0025981660124134672	0.7006569051942068	0.08234281897347878	0.005172149731193791	1.901064606517021E-4
8	0.0232954012358826	0.040808259525821906	0.004981526503894532	0.002568356521538782	0.0	0.0031121098446846977	0.21329067382241867	0.5931823820361307	0.1167394220991179	0.0020218684105101988
9	7.735065444786754E-5	0.006001978507965912	1.3376325850655732E-4	4.844342789668155E-4	1.2034624764350836E-5	0.0	0.017339088569067098	0.1449985660774831	0.7895803118549487	0.041372472173849664
10	0.0	9.339458275873966E-5	1.740199673927551E-4	0.00307911325137453	0.008014311097480404	0.11648502695160154	0.0012484628901519399	0.004070184639974585	0.06124364845084111	0.8055918381684245
