State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.66772	3.64670	3.59941	3.55737	3.55737	3.56263	3.52585	3.52585	3.45228	3.45754	3.40499	3.22633	3.08446	2.98462	2.81647	2.75342	2.85326	2.75867	2.82698	2.70087	2.53272
2	1.43520	1.40165	1.29355	1.32337	1.36810	1.38674	1.43520	1.59550	1.74461	1.89372	1.83408	1.89745	1.72224	1.73343	1.83035	1.92727	1.91609	1.99437	1.93100	1.86763	1.80426
3	3.80307	3.74727	3.66142	3.57987	3.33520	3.22360	3.15063	2.94889	2.88879	2.71280	2.63554	2.68276	2.85016	2.85016	2.94030	3.01327	2.94030	2.90596	2.86304	2.85874	3.01756
4	2.51306	2.41062	2.13064	2.00772	2.19893	2.26722	2.13064	2.11015	2.00772	1.72773	1.67993	1.61164	1.38628	1.58432	1.53652	1.65261	1.63895	1.66627	1.67310	1.63895	1.48871
5	1.22033	1.22904	1.28129	1.29373	1.28999	1.33229	1.41066	1.44425	1.48157	1.52013	1.54998	1.47908	1.48530	1.54874	1.54128	1.52759	1.59352	1.58606	1.62462	1.62213	1.59974
6	2.00928	1.98781	1.96634	1.99394	1.99701	1.97861	2.07984	2.13505	2.21481	2.19947	2.14733	2.09211	1.96020	1.91112	1.84670	1.85590	1.80682	1.74854	1.61663	1.67185	1.69639
7	1.50892	1.54182	1.54770	1.50422	1.47249	1.43606	1.38318	1.36790	1.33969	1.31502	1.26801	1.25156	1.27036	1.23393	1.23040	1.18222	1.18340	1.19045	1.19632	1.19280	1.18457
8	3.38024	3.37057	3.37879	3.40151	3.40973	3.42037	3.41022	3.37976	3.34737	3.31836	3.29854	3.26325	3.21297	3.16946	3.11628	3.05102	2.95819	2.89583	2.83782	2.77400	2.70874
9	2.70156	2.72132	2.69497	2.72132	2.68838	2.66202	2.58954	2.49729	2.46435	2.41163	2.28644	2.24690	2.25349	2.24690	2.16124	2.18760	2.26667	2.12830	2.12830	2.08217	2.14807
10	0.57047	0.57191	0.56328	0.55466	0.57191	0.58915	0.60639	0.62076	0.64088	0.64663	0.64878	0.65309	0.65884	0.68183	0.70554	0.73428	0.74865	0.78098	0.79822	0.79751	0.81547
11	0.65542	0.65683	0.65915	0.65910	0.65824	0.65577	0.65452	0.65633	0.65738	0.66252	0.67113	0.68134	0.69131	0.69523	0.70304	0.70857	0.71592	0.72327	0.73072	0.74038	0.74713
12	0.92854	0.92854	0.93341	0.94031	0.95127	0.95939	0.96467	0.96305	0.96061	0.95817	0.94599	0.93584	0.93057	0.91595	0.89849	0.89118	0.88266	0.87413	0.86114	0.85383	0.86073
