State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	6.83638	8.08400	9.88353	11.14506	11.62741	10.81113	7.76862	5.05540	3.48312	2.84772	2.81525	3.43674	5.59340	11.85931	23.01365	32.26178	35.02138	32.44266	27.59598	22.55913	18.75135
2	2.84943	3.16202	3.49763	4.15241	4.99803	6.04764	6.81758	6.80771	5.18887	3.29363	2.29008	2.09924	2.01040	2.31311	2.75401	3.08963	2.84614	2.33943	2.01698	1.79982	1.66820
3	4.34942	5.14883	6.33090	8.21388	11.59339	17.49996	26.93001	38.18242	48.52934	51.17005	52.88254	58.48980	55.42096	46.96082	33.80270	21.14089	12.94217	8.21009	5.71713	4.12967	3.10294
4	3.08009	3.49600	4.40013	6.36512	8.73999	12.30229	15.96705	17.28107	16.81092	21.69928	22.91082	13.77904	13.34506	13.46561	13.12204	12.28420	9.75865	7.25118	5.15961	3.98423	3.08612
5	2.54074	2.65932	2.76363	2.92064	3.05570	2.92833	2.41667	1.82376	1.33735	1.24512	1.20010	1.08591	1.02662	1.08810	1.11555	1.29562	1.52510	1.64149	1.64588	1.61953	1.51852
6	2.81593	2.77260	2.44498	2.08487	1.67060	1.15345	1.02619	0.85832	0.82853	0.77167	0.81770	0.80146	0.80146	0.87456	0.94496	1.38901	2.89174	4.76812	6.26814	7.07501	7.15624
7	1.34637	1.15032	0.93043	0.72505	0.60680	0.53108	0.48233	0.47507	0.45536	0.46469	0.46054	0.47092	0.48855	0.50930	0.53315	0.56738	0.71053	1.17626	1.82040	2.52989	3.24352
8	0.88969	0.82185	0.76424	0.69170	0.61532	0.55515	0.51632	0.46640	0.43781	0.42586	0.42330	0.43226	0.44463	0.46128	0.48432	0.53339	0.60806	0.73949	0.88969	1.06251	1.19223
9	1.08758	0.99452	0.92473	0.86076	0.85494	0.73862	0.63975	0.56414	0.52343	0.53506	0.55833	0.51762	0.51762	0.55833	0.66301	0.82004	1.08758	1.27369	1.50051	1.69825	1.86691
10	0.68489	0.67158	0.65128	0.62211	0.58279	0.53079	0.47879	0.42235	0.38303	0.37859	0.36781	0.36908	0.37098	0.38874	0.40459	0.42045	0.44264	0.45660	0.46801	0.47499	0.48260
11	0.75763	0.73999	0.71480	0.67820	0.62622	0.56078	0.48628	0.42164	0.38126	0.36082	0.35185	0.35389	0.36758	0.38428	0.40902	0.43612	0.46824	0.49801	0.51902	0.53604	0.54928
12	1.26466	1.28114	1.29261	1.27290	1.24029	1.16969	1.08082	0.96722	0.85827	0.78445	0.75148	0.75041	0.80094	0.87870	0.97295	1.06147	1.12633	1.16037	1.19155	1.18259	1.18689
