State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.66167	3.25541	2.82686	2.19969	3.40534	2.81534	11.86372	0.13805
2	0.93267	0.91465	1.27727	1.03940	1.83427	2.29015	3.44231	0.32360
3	0.80999	61.38872	8.17133	1.44994	2.63581	52.88038	22.16800	0.28911
4	0.50913	27.01966	3.54421	0.95736	1.68010	22.91153	10.88251	0.90888
5	2.79494	0.35922	1.14991	1.12381	1.55015	1.20014	1.87444	0.43381
6	1.13339	0.25137	1.87230	2.25086	2.14755	0.81773	2.15951	0.11693
7	2.95856	0.43031	1.65679	2.28893	1.26697	0.46056	0.90298	0.13818
8	7.19175	0.62873	3.66696	2.17019	3.29792	0.42331	0.67358	0.28124
9	0.52766	0.39016	2.99938	1.80178	2.28668	0.55835	0.80144	0.28924
10	4.83916	0.41587	0.49878	0.62142	0.64885	0.36782	0.50142	1.19631
11	69.07765	0.28469	0.59250	0.81163	0.67120	0.35186	0.54296	1.08920
12	8.56344	0.53066	0.81516	0.91302	0.94609	0.75151	1.15434	1.62932
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
