State (Emission order)	H3K27me3	H2AZ	H3K4me3	H3K27ac	H3K9ac	H3K4me2	H3K4me1	H4K20me1	H3K79me2	H3K36me3	H3K9me3
1	3.0212828464747023E-4	0.05539171028142755	0.8180363750567328	0.8224452459689525	0.9043748035393652	0.9859449326232644	0.7537140029054956	0.16324620001241621	0.9393200121679804	0.2385279547615936	0.008919811905986572
2	3.88088804456725E-4	0.6271783785761901	0.5091627084648696	0.6470657051026967	0.7581766525854995	0.8773042019501318	0.9542113959643611	0.003239354266549107	0.022325991607839997	0.019483130329144033	0.010515614625750068
3	0.02100339369293027	0.8671521173291943	0.9962351068066277	0.9886312673438072	0.9853256904440656	0.8659092324303901	0.17889876815393463	0.0019064011848986264	0.26460853016792235	0.0030802381999307815	0.004765544149650042
4	0.21134271649911443	0.5501685119598104	0.4057602289534982	0.11560277093910311	0.07974234992530423	0.7184924700911074	0.2408945914192615	0.012951419741772857	0.003985069521024691	0.002503224634576776	0.029197703291305322
5	0.0012718458426799956	0.19131557255450085	0.0025919515407850967	0.03276697826068332	0.033502546424841295	0.13093462875518688	0.6253426298837887	0.004115416188742844	0.006966463431124117	0.0143625912435562	0.01322776999374396
6	1.1995983643547773E-4	0.0011809344876672495	0.03426300019372185	0.09910486165934752	0.10991757770900706	0.288717133322576	0.84310728796826	0.20271312362274926	0.8203791060672477	0.27968339234601436	0.0111064513994803
7	7.380362762606077E-5	3.069877198413896E-5	5.931619434385471E-5	0.0010361971042698113	5.656095351571598E-4	9.775514814578425E-4	0.06400399167091068	0.11719893021618034	0.6876347254837901	0.21530399764811992	0.00904265296266196
8	4.3111092413159855E-5	2.3608228758029024E-5	1.7890487597635685E-5	7.733261895489905E-4	3.680395376946645E-4	1.1354667040245294E-4	0.01673975713428071	0.020865775725201246	0.03662160787582532	0.20227740099430472	0.0022523090857690955
9	0.0010532977531179763	0.024392618806511553	0.019092214769463062	0.002612034021046865	0.0054598015018314655	0.0026140337289503857	0.024297226299466873	0.04461586554903411	0.22041921204446605	0.6356806029718741	0.7876314147629907
10	0.00554866923203801	0.006873221372525386	1.777968178340626E-4	7.014130833250026E-5	3.4485220450487745E-5	1.0310082017756412E-4	6.688099678696558E-4	0.001988815925700386	2.233035036794648E-4	0.007714184049382435	0.3006471759565027
11	0.0048835352094779155	0.007698162681190194	1.8889792286987964E-5	9.850618102885423E-5	2.887538450553338E-5	9.321836045421301E-5	0.001443381683637819	0.001560807620245912	1.9422020158280768E-4	9.564137312671802E-4	0.005159664421376641
12	0.3936628575155683	0.009052991006632125	2.1049886305399987E-5	8.766686733741682E-5	2.6067582495401583E-5	8.539824126978295E-4	0.0020824148680329228	0.007383778495192596	8.091853249231332E-5	3.6407521883367134E-4	0.014316406796052502
