12	11	E	-1.0529367161027988E7	97
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	2.160015205688782E-287
probinit	5	6.686023434089766E-189
probinit	6	0.0
probinit	7	0.0
probinit	8	7.265755157974414E-230
probinit	9	0.0
probinit	10	3.6903706341566665E-145
probinit	11	1.0
probinit	12	8.06010808012331E-189
transitionprobs	1	1	0.8057725036592318
transitionprobs	1	2	0.0047417513127264044
transitionprobs	1	3	0.05931910037682125
transitionprobs	1	4	0.0014053512669338403
transitionprobs	1	5	0.0012119889610157815
transitionprobs	1	6	0.11430784050621587
transitionprobs	1	7	0.009074964051166276
transitionprobs	1	8	0.002782954008760555
transitionprobs	1	9	0.0011080718705292103
transitionprobs	1	10	1.057888126285326E-6
transitionprobs	1	11	2.744160984727366E-4
transitionprobs	1	12	0.0
transitionprobs	2	1	0.0034731688976612253
transitionprobs	2	2	0.7193806103910065
transitionprobs	2	3	0.039357384206685775
transitionprobs	2	4	0.002114210136590038
transitionprobs	2	5	0.22373364503640633
transitionprobs	2	6	0.0034726926139780514
transitionprobs	2	7	0.0
transitionprobs	2	8	0.001802066438341609
transitionprobs	2	9	9.431289979732316E-4
transitionprobs	2	10	4.1448148112571405E-4
transitionprobs	2	11	0.00530861180023156
transitionprobs	2	12	0.0
transitionprobs	3	1	0.04930946688566567
transitionprobs	3	2	0.044087670258419476
transitionprobs	3	3	0.8023066008481797
transitionprobs	3	4	0.09084562315553563
transitionprobs	3	5	0.0029956275718025813
transitionprobs	3	6	0.0
transitionprobs	3	7	3.036835416946868E-5
transitionprobs	3	8	9.461422597966155E-4
transitionprobs	3	9	2.5840291409352283E-5
transitionprobs	3	10	2.6338689793027636E-4
transitionprobs	3	11	0.009144210364229596
transitionprobs	3	12	4.506311286154824E-5
transitionprobs	4	1	0.001911729434676922
transitionprobs	4	2	0.004297973450958987
transitionprobs	4	3	0.14040053113522927
transitionprobs	4	4	0.5652065956429456
transitionprobs	4	5	0.02971491880790183
transitionprobs	4	6	6.947626257720455E-4
