State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12
1	0.8057725036592318	0.0047417513127264044	0.05931910037682125	0.0014053512669338403	0.0012119889610157815	0.11430784050621587	0.009074964051166276	0.002782954008760555	0.0011080718705292103	1.057888126285326E-6	2.744160984727366E-4	0.0
2	0.0034731688976612253	0.7193806103910065	0.039357384206685775	0.002114210136590038	0.22373364503640633	0.0034726926139780514	0.0	0.001802066438341609	9.431289979732316E-4	4.1448148112571405E-4	0.00530861180023156	0.0
3	0.04930946688566567	0.044087670258419476	0.8023066008481797	0.09084562315553563	0.0029956275718025813	0.0	3.036835416946868E-5	9.461422597966155E-4	2.5840291409352283E-5	2.6338689793027636E-4	0.009144210364229596	4.506311286154824E-5
4	0.001911729434676922	0.004297973450958987	0.14040053113522927	0.5652065956429456	0.02971491880790183	6.947626257720455E-4	3.9105337869937317E-4	0.0017971517326098201	9.417863310285621E-4	0.009639704156031279	0.168831506094499	0.07617228720964749
5	2.1289544872910173E-4	0.06860197121244518	7.64578578117215E-4	0.005401673594019579	0.7247410661363616	0.002998805243922082	0.0	0.015675174357552692	8.446318952836543E-4	0.003491484343979356	0.1771846726378975	8.304655169206602E-5
6	0.06442292115147343	0.003070711720159058	0.0	2.7741329409520734E-4	0.007814647246170273	0.7662808634286261	0.12988364581246534	0.027286973522936995	9.62823824073591E-4	0.0	0.0	0.0
7	0.0018645046258577082	0.0	1.6588863477083493E-5	7.988377130622528E-5	0.0	0.05065968352216371	0.9167821560267367	0.02751445429940558	0.003082728891052865	0.0	0.0	0.0
8	2.52451185220159E-4	2.1174774084964357E-4	1.0269606897703098E-4	1.3897456213698807E-4	0.00672882100137655	0.00424267719357809	0.011250802018222575	0.9650585147495951	0.005816337810086197	0.0	0.00619697766995782	0.0
9	0.001137176295782871	0.0	0.0	0.00113197950087475	0.005333689336073728	0.0021420547249670534	0.016253090762652144	0.07507356538324418	0.8465095584256493	0.052412974118903465	0.0	5.911451852538343E-6
10	3.3969713159612054E-6	8.640701225200665E-5	3.795458251415516E-5	9.540409030779668E-4	0.0019321412849411632	0.0	0.0	0.0	0.005071162490786258	0.9215383601416375	0.06816026421586575	0.002216272397609223
11	2.7633562115970724E-6	8.661602092457464E-5	1.2006232506840762E-4	0.0012948384644894306	0.008012199889029918	0.0	0.0	6.49341959742817E-4	0.0	0.005581379783323929	0.9799491491505504	0.004303649050659082
12	0.0	0.0	2.0820541020425995E-6	0.004735312537796035	2.51109991978651E-5	0.0	0.0	0.0	0.0	0.0014300351836193622	0.033047993504381236	0.9607594657209034
